모델명,카테고리,상품설명,가격,중고가격,감가율
매직쉐프 MMW-W23FDHW,가스레인지,4년 사용했습니다. 상태 최상이며 작동 이상 없음.,119960,77974,0.35
린나이 RT-1080IJ,가스레인지,3년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 추가 액세서리 포함.,128060,53785,0.58
린나이 INCP2032WJ,가스레인지,3년 사용했습니다. 상태 최상하지만 생활 기스 있음. 추가 액세서리 포함.,143060,103003,0.28
SK매직 GRA-B3218D,가스레인지,2년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 정품 인증서 포함.,147990,75474,0.49
린나이 RT-6520I,가스레인지,2년 사용했습니다. 외관 약간 흠집이며 작동 이상 없음. 정품 인증서 포함.,188810,145383,0.23
린나이 CPBC611DJ,가스레인지,6개월 사용했습니다. 생활흔적 있음이며 고장 없음. 박스 및 구성품 있음.,176080,158472,0.1
SK매직 GRA-BA301D,가스레인지,5년 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 정품 인증서 포함.,229020,87027,0.62
린나이 RBR-PF3000,가스레인지,6개월 사용했습니다. 사용감 있음그리고 생활 기스 있음. 박스 없음.,294960,244816,0.17
SK매직 뉴에코 GRA-851SR,가스레인지,5년 사용했습니다. 상태 보통그리고 액정 파손. 박스 없음.,128820,32205,0.75
린나이 RBR-S6201D,가스레인지,2년 사용했습니다. 상태 보통이며 작동 이상 없음. 충전기 없음.,180000,133200,0.26
린나이 RBR-P3511WD,가스레인지,2년 사용했습니다. 상태 최상하지만 화면 금 갔음. 충전기 없음.,241400,161737,0.33
린나이 RBR-P2501D,가스레인지,3년 사용했습니다. 사용감 있음그리고 액정 파손. 박스 및 구성품 있음.,210750,94837,0.55
SK매직 뉴에코 GRA-910SR,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,171700,53227,0.69
SK매직 GRA-F2NRH,가스레인지,거의 사용하지 않음. 외관 약간 흠집그리고 액정 파손. 박스 및 구성품 있음.,116450,82679,0.29
린나이 GTA24SJ,가스레인지,5년 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 정품 인증서 포함.,133400,50692,0.62
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,6개월 사용했습니다. 상태 양호이며 작동 이상 없음. 추가 액세서리 포함.,144000,129600,0.1
린나이 RBR-S3000,가스레인지,1년 사용했습니다. 상태 양호이며 작동 이상 없음. 충전기 없음.,218950,190486,0.13
하츠 GC-3605SDBH,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 박스 및 구성품 있음.,135000,108000,0.2
린나이 RBR-S3603DIJ,가스레인지,1개월 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음. 박스 없음.,156710,128502,0.18
