모델명,count,avg_price,min_price,max_price
SK매직 GRA-B3216D,125,113920,113920,113920
SK매직 GRA-B3218D,125,147990,147990,147990
SK매직 GRA-B322K,125,174080,174080,174080
SK매직 GRA-B3FDD,125,126000,126000,126000
SK매직 GRA-BA301D,125,229020,229020,229020
SK매직 GRA-F2NRH,125,116450,116450,116450
SK매직 GRAB221K,125,85440,85440,85440
SK매직 뉴에코 GRA-841SR (GRA-841R),125,144000,144000,144000
SK매직 뉴에코 GRA-851SR,125,128820,128820,128820
SK매직 뉴에코 GRA-910SR,125,171700,171700,171700
린나이 CPBC611DJ,125,176080,176080,176080
린나이 CTA22NJ,125,138600,138600,138600
린나이 GTA24SJ,125,133400,133400,133400
린나이 INBS301DJ,125,167350,167350,167350
린나이 INCP2032WJ,125,143060,143060,143060
린나이 RBR-P2501D,125,210750,210750,210750
린나이 RBR-P3511WD,125,241400,241400,241400
린나이 RBR-P4400,125,436700,436700,436700
린나이 RBR-PF3000,125,294960,294960,294960
린나이 RBR-S3000,125,218950,218950,218950
린나이 RBR-S3001D,125,213600,213600,213600
린나이 RBR-S3307DJ,125,158790,158790,158790
린나이 RBR-S3603DIJ,125,156710,156710,156710
린나이 RBR-S4000,125,260460,260460,260460
린나이 RBR-S6201D,125,180000,180000,180000
린나이 RT-1080IJ,125,128060,128060,128060
린나이 RT-1620I,125,189730,189730,189730
린나이 RT-5102,125,250380,250380,250380
린나이 RT-6520I,125,188810,188810,188810
매직쉐프 MMW-W23FDHW,125,119960,119960,119960
하츠 GC-3605SDBH,125,135000,135000,135000
