"name","industry_id","category_ids","product_ids","price","thumbnail","description"
"음식 창업 패키지 1","1","81, 10, 178","15667, 16257, 28293, 29742, 101633","2970000.0","",""
"음식 창업 패키지 2","1","10, 12, 77","28459, 33171, 34943, 676, 305","1512000.0","",""
"음식 창업 패키지 3","1","178, 10, 12","102078, 33039, 34003","1122000.0","",""
"배달 창업 패키지 1","2","194, 279, 193","544, 393, 36320, 43","1983466.0","",""
"배달 창업 패키지 2","2","193, 194, 279","113, 746, 838, 36299","639000.0","",""
"배달 창업 패키지 3","2","279, 194, 193","36318, 36317, 887, 144, 172","873000.0","",""
"카페 창업 패키지 1","3","89, 92, 242","1327, 1347, 19450, 105304, 106210","28612345.0","",""
"카페 창업 패키지 2","3","310, 206, 3","44773, 44624, 130455, 31214, 31398","6487776.0","",""
"카페 창업 패키지 3","3","92, 89, 310","18846, 19283, 1462, 948, 44567, 44036","14015000.0","",""
"제과 창업 패키지 1","4","273, 278, 2","26947, 26883, 36143, 30541, 30813","9080000.0","",""
"제과 창업 패키지 2","4","5, 2, 278","31948, 31943, 30892, 30596, 36142","78066677.0","",""
"제과 창업 패키지 3","4","273, 5, 278","26890, 26917, 31942, 31943, 36161","618000.0","",""
"디저트 창업 패키지 1","5","7, 1, 2","32289, 32309, 29863, 29465, 30880, 30963","4800000.0","",""
"디저트 창업 패키지 2","5","7, 5, 273","32291, 32309, 31948, 26978, 26928","126000.0","",""
"디저트 창업 패키지 3","5","1, 278, 5","29282, 36135, 36167, 31948, 31943","538111.0","",""
"스마트스토어/쇼핑몰 창업 패키지 1","6","13, 61, 215","35742, 35755, 140695, 45626, 45731","1012900.0","",""
"스마트스토어/쇼핑몰 창업 패키지 2","6","13, 61, 216","35858, 35870, 142032, 45938","410000.0","",""
"스마트스토어/쇼핑몰 창업 패키지 3","6","13, 61, 306","35656, 35716, 141624, 39070, 39068","789000.0","",""
"무인 창업 창업 패키지 1","7","290, 309, 306","38709, 36856, 36547, 39177, 39091","1117600.0","",""
"무인 창업 창업 패키지 2","7","290, 309, 221","38709, 37008, 37268, 52489, 52501","5300000.0","",""
"무인 창업 창업 패키지 3","7","290, 309, 305","38709, 36232, 37562, 39589","979000.0","",""
"편의점 창업 패키지 1","8","61, 191, 178","141020, 141431, 41095, 41134, 102050","534000.0","",""
"편의점 창업 패키지 2","8","12, 61, 191","34494, 140405, 140275, 41236","315000.0","",""
"편의점 창업 패키지 3","8","61, 191, 178","141429, 141884, 41148, 101534, 101888","1707000.0","",""
"미용 창업 패키지 1","9","141, 294, 60","64724, 59091, 59102, 140031","590000.0","",""
"미용 창업 패키지 2","9","18, 143, 60","44375, 72953, 73069, 140083, 140063","334900.0","",""
"미용 창업 패키지 3","9","60, 16, 143","140038, 140109, 43676, 73300, 72552","330000.0","",""
"뷰티 창업 패키지 1","10","142, 141, 136","69090, 68142, 64740, 55741, 56166","1079800.0","",""
"뷰티 창업 패키지 2","10","142, 141, 139","65317, 65263, 64703, 64545","945000.0","",""
"뷰티 창업 패키지 3","10","136, 139, 135","55245, 58075, 64536, 54224","43000.0","",""
"네일 창업 패키지 1","11","294, 297, 299","59088, 64350, 64562, 64558","1730000.0","",""
"네일 창업 패키지 2","11","297, 299, 294","64341, 64558, 59093, 59099","920000.0","",""
"네일 창업 패키지 3","11","299, 294, 297","64559, 64557, 59099, 64321, 64234","190000.0","",""
"스터디카페 창업 패키지 1","12","43, 44, 30","61685, 60641, 102287, 61387","590000.0","",""
"스터디카페 창업 패키지 2","12","31, 44, 174","61827, 145054, 102086, 96029","2690000.0","",""
"스터디카페 창업 패키지 3","12","197, 43, 174","117732, 117727, 62002, 63498, 96465, 96319","473000.0","",""
"학원/교육 창업 패키지 1","13","30, 43, 197","61381, 60573, 62835, 117732","458900.0","",""
"학원/교육 창업 패키지 2","13","197, 44, 33","117727, 117732, 102134, 64361, 64129","370000.0","",""
"학원/교육 창업 패키지 3","13","44, 43, 197","102273, 61524, 62987, 117727","303900.0","",""
"애견샵/반려동물 창업 패키지 1","14","237, 236, 235","80526, 78931, 75640, 75632, 75132","1902222.0","",""
"애견샵/반려동물 창업 패키지 2","14","232, 235, 236","68764, 75257, 75177, 75620","414222.0","",""
"애견샵/반려동물 창업 패키지 3","14","235, 233, 232","75066, 75059, 69732, 68838, 68786","77944.0","",""
"숙박업 창업 패키지 1","15","38, 35, 40","86418, 84783, 75390, 74228, 88389, 88240","396000.0","",""
"숙박업 창업 패키지 2","15","38, 35, 39","87205, 84376, 77021, 75694, 87304, 87581","1820000.0","",""
"숙박업 창업 패키지 3","15","35, 36, 39","74111, 76453, 80917, 80471, 87616, 87291","4193000.0","",""
"레저 창업 패키지 1","16","160, 258, 262","130974, 101580, 101582, 108634","440000.0","",""
"레저 창업 패키지 2","16","160, 251, 212","130362, 130509, 89199, 144411, 144324","409000.0","",""
"레저 창업 패키지 3","16","212, 213, 159","144449, 144375, 31992, 32893, 129752, 129780","1046345.0","",""
"오락 창업 패키지 1","17","312, 171, 178","103236, 102846, 94374, 94304, 101627","839000.0","",""
"오락 창업 패키지 2","17","312, 171, 211","102217, 102697, 94620, 94719, 143814","1240000.0","",""
"오락 창업 패키지 3","17","312, 211, 178","104731, 144091, 142578, 101951","593000.0","",""
"스크린 창업 패키지 1","18","260, 262, 197","106326, 108352, 117732","89777.0","",""
"스크린 창업 패키지 2","18","197, 172, 260","117732, 95394, 108103","1357777.0","",""
"스크린 창업 패키지 3","18","260, 262, 172","107659, 107477, 108388, 95084, 95069","5409777.0","",""
"헬스장 창업 패키지 1","19","248, 247, 242","122649, 122554, 118971, 117035, 104342, 106728","2190000.0","",""
"헬스장 창업 패키지 2","19","248, 247, 242","122981, 117945, 104824, 102945","1039000.0","",""
"헬스장 창업 패키지 3","19","242, 248, 247","104129, 123089, 118766, 117484","1970000.0","",""
"레슨샵 창업 패키지 1","20","312, 156, 209","105589, 108244, 140869","500000.0","",""
"레슨샵 창업 패키지 2","20","209, 153, 155","140911, 140925, 107846, 108163","337900.0","",""
"레슨샵 창업 패키지 3","20","155, 156, 312","108163, 108245, 105198, 106170","1229999.0","",""
"유통업 창업 패키지 1","21","146, 190, 221","144291, 40918, 40822, 52361","2220000.0","",""
"유통업 창업 패키지 2","21","146, 190, 239","142736, 40889, 85287","119345.0","",""
"유통업 창업 패키지 3","21","146, 190, 219","143682, 143976, 40857, 40836, 50614, 50615","20130000.0","",""
"스타트업 창업 패키지 1","22","69, 213, 216","145883, 145831, 30554, 32216, 45920","4015000.0","",""
"스타트업 창업 패키지 2","22","69, 213, 211","145710, 146030, 30414, 31166, 143513, 142375","3130000.0","",""
"스타트업 창업 패키지 3","22","69, 213, 200","145622, 33024, 127343","472000.0","",""
"노점 창업 패키지 1","24","194, 164, 226","790, 133000, 132904, 127557","16385000.0","",""
"노점 창업 패키지 2","24","194, 164, 167","1131, 132919, 134798, 134821","3140000.0","",""
"노점 창업 패키지 3","24","194, 169, 166","728, 1141, 135268, 133418","1067345.0","",""
"푸드트럭 창업 패키지 1","25","157, 158, 222","129306, 129450, 55649","198000.0","",""
"푸드트럭 창업 패키지 2","25","303, 162, 157","142099, 132548, 132544, 129304, 129306","313000.0","",""
"푸드트럭 창업 패키지 3","25","222, 226, 160","55366, 54835, 127900, 130804","1520000.0","",""
"사업 창업 패키지 1","26","197, 43, 199","117727, 60262, 59477, 124817","450000.0","",""
"사업 창업 패키지 2","26","197, 198, 199","117727, 120912, 124400","104690.0","",""
"사업 창업 패키지 3","26","198, 43, 197","118889, 63057, 61084, 117732","399000.0","",""
"해외장사 창업 패키지 1","27","221, 151, 197","52509, 52458, 129088, 117732","199000.0","",""
"해외장사 창업 패키지 2","27","151, 148, 223","147474, 147496, 145638, 128341","115000.0","",""
"해외장사 창업 패키지 3","27","144, 226, 151","142276, 127816, 129287, 129090","1603777.0","",""
"전문서비스 창업 패키지 1","28","164, 197, 209","133017, 117727, 140538, 140639","504000.0","",""
"전문서비스 창업 패키지 2","28","183, 208, 215","76612, 76269, 134965, 135422, 45692","322000.0","",""
"전문서비스 창업 패키지 3","28","209, 200, 76","140782, 140393, 127656, 147423","80000.0","",""
"기술창업 창업 패키지 1","29","76, 71, 199","147423, 146896, 124612, 122840","10030000.0","",""
"기술창업 창업 패키지 2","29","207, 71, 198","127864, 146983, 146779, 120695, 122185","23827345.0","",""
"기술창업 창업 패키지 3","29","200, 207, 71","127126, 126581, 147113","392345.0","",""
