id,name,description,grade,quantity,price,buyer_id_id,category_id_id,images,purchase_date,sales_status,seller_id_id,upload_date
21130,반죽용기 사각 밀폐 용기 100ml 포장 용품 상하박스,,B,1,40000,,332,,,available,,
21137,"도우박스,빵반죽 용기",,B,1,8000,,332,,,available,,
10283,비니 프리 사이즈 남녀공용 엑스라지 일회용수저,,B,1,2000,,331,,,available,,
10285,일회용 빙수 수저,,A,1,20000,,331,,,available,,
10290,일회용 수저,,A,1,20000,,331,,,available,,
10291,일회용 종이 그릇+수저 세트,,B,1,20000,,331,,,available,,
10292,일회용 용기와 수저 (미사용),,A,1,20000,,331,,,available,,
10299,"택포)누운수저세트,일회용 수저 세트일괄",,A,1,15000,,331,,,available,,
10300,일회용 수저세트 430개,,A,1,25000,,331,,,available,,
10302,일회용 수저 30개,,A,1,1500,,331,,,available,,
10306,벌크 일회용 수저 아이스크림 요거트,,A,1,10000,,331,,,available,,
10311,"소스통, 도시락통, 수저세트, 일회용 숟가락, 강판 등",,B,1,2000,,331,,,available,,
10313,"일회용포크 , 일회용수저 개별포장",,A,1,2500,,331,,,available,,
10316,여름모기장텐트판매또는 일회용수저젓가리교환되오니 거래하실,,B,1,5000,,331,,,available,,
20784,판매 EGS 휘핑기 카페소형휘핑기 //상태좋음// ...,,B,1,70000,,330,,,available,,
20785,캠핑용품 올라운드멀티박스. 휘핑기. 와인오프너. 택포2...,,A,1,20000,,330,,,available,,
20786,휘핑기,,B,1,35000,,330,,,available,,
20788,itis 클래식 알루미늄 휘핑기,,B,1,40000,,330,,,available,,
20791,신일 믹서기/애플 휘핑기 일괄로 팝니다,,B,1,20000,,330,,,available,,
20798,카페 생크림 휘핑기 거품기 cream profi whi...,,B,1,90000,,330,,,available,,
20800,바쁜가게>>> 1리터용 휘핑기 >>> 새제품임다,,A,1,15000,,330,,,available,,
20802,카페용 자동 휘핑기_ 프로휩 휘핑머신,,B,1,800000,,330,,,available,,
20805,생크림 휘핑기,,B,1,20000,,330,,,available,,
20808,프로휩 휘핑기,,B,1,500000,,330,,,available,,
